fecha,par,tipo
2025-10-04 04:29:00,GBPUSD-OTC,call
2025-10-04 04:29:01,EURUSD-OTC,call
2025-10-04 04:29:11,EURUSD-OTC,call
2025-10-04 04:29:13,GBPUSD-OTC,call
2025-10-04 04:29:13,EURGBP-OTC,call
2025-10-04 04:29:45,EURUSD-OTC,call
2025-10-04 04:30:19,USDCHF-OTC,call
2025-10-04 04:31:34,EURUSD-OTC,call
2025-10-04 04:31:47,EURGBP-OTC,call
2025-10-04 04:31:49,EURUSD-OTC,call
2025-10-04 04:31:50,GBPJPY-OTC,call
2025-10-04 04:32:00,AUDCAD-OTC,call
2025-10-04 04:32:00,GBPJPY-OTC,call
2025-10-04 04:32:11,GBPUSD-OTC,put
2025-10-04 04:32:25,GBPJPY-OTC,put
2025-10-04 04:32:25,AUDCAD-OTC,put
2025-10-04 04:32:37,USDCHF-OTC,put
2025-10-04 04:32:47,AUDCAD-OTC,put
2025-10-04 04:32:47,GBPJPY-OTC,put
2025-10-04 04:32:58,GBPUSD-OTC,put
2025-10-04 04:33:23,EURGBP-OTC,put
2025-10-04 04:33:40,GBPUSD-OTC,put
2025-10-04 04:33:42,EURUSD-OTC,put
2025-10-04 04:33:59,USDCHF-OTC,put
2025-10-04 04:34:17,GBPUSD-OTC,put
2025-10-04 04:34:49,GBPUSD-OTC,put
