fecha,par,tipo,monto,order_id,resultado,pnl,saldo_antes,saldo_despues
2025-10-04 12:32:00,AUDCAD-OTC,call,1.0,13150027073,WIN,0.87,9642.22,9642.09
2025-10-04 12:32:59,USDCHF-OTC,call,1.0,13150029986,LOSS,-1.00,9642.09,9642.96
2025-10-04 12:32:59,USDCHF-OTC,call,1.0,13150029007,WIN,0.87,9641.22,9642.96
2025-10-04 12:33:59,USDHKD-OTC,call,1.0,13150033012,LOSS,0.00,9642.96,9641.96
2025-10-04 12:34:00,USDZAR-OTC,put,1.0,13150032947,LOSS,-1.00,9642.96,9641.96
2025-10-04 12:35:00,EURGBP-OTC,call,1.0,13150036613,LOSS,-1.00,9641.96,9640.96
2025-10-04 12:36:00,USDCHF-OTC,call,1.0,13150039296,LOSS,-1.00,9640.96,9639.96
2025-10-04 12:37:00,USDZAR-OTC,put,1.0,13150042306,LOSS,-1.00,9639.96,9638.96
2025-10-04 12:37:59,EURUSD-OTC,put,1.0,13150045528,WIN,0.87,9638.96,9639.83
2025-10-04 12:39:00,USDINR-OTC,call,1.0,13150048783,WIN,0.87,9639.83,9640.70
2025-10-04 12:40:00,EURUSD-OTC,put,1.0,13150051730,WIN,0.87,9640.70,9641.57
